Timestamp,Filename,Language,Full Path,Error Type,Error Message
2025-12-08 18:10:54,A Mao Segurou O Martelo.doc,english,/mnt/c/Users/joelv/Downloads/Complete Song List 2024-20251208T122705Z-1-001/Complete Song List 2024/Joshua English Slides/A Mao Segurou O Martelo.doc,TIMEOUT,API timeout (>30s)
2025-12-08 18:11:23,A mighty fortress.doc,english,/mnt/c/Users/joelv/Downloads/Complete Song List 2024-20251208T122705Z-1-001/Complete Song List 2024/Joshua English Slides/A mighty fortress.doc,TIMEOUT,API timeout (>30s)
2025-12-08 18:11:53,A new Hallelujah.doc,english,/mnt/c/Users/joelv/Downloads/Complete Song List 2024-20251208T122705Z-1-001/Complete Song List 2024/Joshua English Slides/A new Hallelujah.doc,TIMEOUT,API timeout (>30s)
2025-12-08 18:12:22,Abba Father Let Me Be.doc,english,/mnt/c/Users/joelv/Downloads/Complete Song List 2024-20251208T122705Z-1-001/Complete Song List 2024/Joshua English Slides/Abba Father Let Me Be.doc,TIMEOUT,API timeout (>30s)
2025-12-08 18:12:51,Adonai (Hillsong).doc,english,/mnt/c/Users/joelv/Downloads/Complete Song List 2024-20251208T122705Z-1-001/Complete Song List 2024/Joshua English Slides/Adonai (Hillsong).doc,TIMEOUT,API timeout (>30s)
2025-12-08 18:13:21,Adonai (Paul Wilbur).doc,english,/mnt/c/Users/joelv/Downloads/Complete Song List 2024-20251208T122705Z-1-001/Complete Song List 2024/Joshua English Slides/Adonai (Paul Wilbur).doc,TIMEOUT,API timeout (>30s)
2025-12-08 18:13:50,Ah Lord God.doc,english,/mnt/c/Users/joelv/Downloads/Complete Song List 2024-20251208T122705Z-1-001/Complete Song List 2024/Joshua English Slides/Ah Lord God.doc,TIMEOUT,API timeout (>30s)
2025-12-08 18:14:19,"Alabare, A Mi Senor.doc",english,"/mnt/c/Users/joelv/Downloads/Complete Song List 2024-20251208T122705Z-1-001/Complete Song List 2024/Joshua English Slides/Alabare, A Mi Senor.doc",TIMEOUT,API timeout (>30s)
2025-12-08 18:14:49,Alive Alive.doc,english,/mnt/c/Users/joelv/Downloads/Complete Song List 2024-20251208T122705Z-1-001/Complete Song List 2024/Joshua English Slides/Alive Alive.doc,TIMEOUT,API timeout (>30s)
2025-12-08 18:15:19,All Consuming Fire.doc,english,/mnt/c/Users/joelv/Downloads/Complete Song List 2024-20251208T122705Z-1-001/Complete Song List 2024/Joshua English Slides/All Consuming Fire.doc,TIMEOUT,API timeout (>30s)
2025-12-08 18:15:48,All creation cries to you.doc,english,/mnt/c/Users/joelv/Downloads/Complete Song List 2024-20251208T122705Z-1-001/Complete Song List 2024/Joshua English Slides/All creation cries to you.doc,TIMEOUT,API timeout (>30s)
2025-12-08 18:16:17,All Day - Copy.doc,english,/mnt/c/Users/joelv/Downloads/Complete Song List 2024-20251208T122705Z-1-001/Complete Song List 2024/Joshua English Slides/All Day - Copy.doc,TIMEOUT,API timeout (>30s)
2025-12-08 18:16:47,All Day.doc,english,/mnt/c/Users/joelv/Downloads/Complete Song List 2024-20251208T122705Z-1-001/Complete Song List 2024/Joshua English Slides/All Day.doc,TIMEOUT,API timeout (>30s)
2025-12-08 18:17:16,All Hail King Jesus.doc,english,/mnt/c/Users/joelv/Downloads/Complete Song List 2024-20251208T122705Z-1-001/Complete Song List 2024/Joshua English Slides/All Hail King Jesus.doc,TIMEOUT,API timeout (>30s)
2025-12-08 18:17:45,All Heavens Declare.doc,english,/mnt/c/Users/joelv/Downloads/Complete Song List 2024-20251208T122705Z-1-001/Complete Song List 2024/Joshua English Slides/All Heavens Declare.doc,TIMEOUT,API timeout (>30s)
2025-12-08 18:18:14,All Honor All Glory All Power.doc,english,/mnt/c/Users/joelv/Downloads/Complete Song List 2024-20251208T122705Z-1-001/Complete Song List 2024/Joshua English Slides/All Honor All Glory All Power.doc,TIMEOUT,API timeout (>30s)
2025-12-08 18:18:44,All I Want Is Just to Know You.doc,english,/mnt/c/Users/joelv/Downloads/Complete Song List 2024-20251208T122705Z-1-001/Complete Song List 2024/Joshua English Slides/All I Want Is Just to Know You.doc,TIMEOUT,API timeout (>30s)
